DE;EN;FR;SPECIES_CODE
Kletter- x Fichtenwaldsänger (Hybrid);Black-and-white x Blackburnian Warbler (hybrid);Hybride Paruline noir et blanc x P. à gorge orangée;x01250
Braunkehl- x Fichtenwaldsänger (Hybrid);Bay-breasted x Blackburnian Warbler (hybrid);Hybride Paruline à poitrine baie x P. à gorge orangée;x00821
Goldwaldsänger;Northern Yellow Warbler;Paruline jaune;yelwar1
Weidengelbkehlchen x Goldwaldsänger (Hybrid);Common Yellowthroat x Northern Yellow Warbler (hybrid);Hybride Paruline masquée x P. jaune;x00701
Kapuzen- x Goldwaldsänger (Hybrid);Hooded x Northern Yellow Warbler (hybrid);Hybride Paruline à capuchon x P. jaune;x00822
Rotschwanz- x Goldwaldsänger (Hybrid);American Redstart x Northern Yellow Warbler (hybrid);Hybride Paruline flamboyante x P. jaune;x00481
Mangrovewaldsänger;Mangrove Yellow Warbler;Paruline des mangroves;manwar1
Mangrovewaldsänger [castaneiceps-Gruppe];Mangrove Yellow Warbler (Mexican);Paruline des mangroves (groupe castaneiceps);maywar2
Mangrovewaldsänger [erithachorides-Gruppe];Mangrove Yellow Warbler (Panama);Paruline des mangroves (groupe erithachorides);maywar1
Mangrovewaldsänger (peruviana);Mangrove Yellow Warbler (Ecuadorian);Paruline des mangroves (peruviana);yelwar21
Mangrovewaldsänger (aureola);Mangrove Yellow Warbler (Galapagos);Paruline des mangroves (aureola);yelwar3
Mangrovewaldsänger (rufivertex);Mangrove Yellow Warbler (Cozumel);Paruline des mangroves (rufivertex);yelwar22
Mangrovewaldsänger (flavida/armouri);Mangrove Yellow Warbler (San Andres);Paruline des mangroves (flavida/armouri);maywar3
Mangrovewaldsänger [albicollis-Gruppe];Mangrove Yellow Warbler (Greater Antillean);Paruline des mangroves (groupe albicollis);yelwar2
Mangrovewaldsänger [petechia-Gruppe];Mangrove Yellow Warbler (Lesser Antillean);Paruline des mangroves (groupe petechia);maywar4
Mangrovewaldsänger (ruficapilla);Mangrove Yellow Warbler (Martinique);Paruline des mangroves (ruficapilla);yelwar31
Mangrovewaldsänger [castaneiceps-Gruppe] x rufivertex;Mangrove Yellow Warbler (Mexican x Cozumel);Paruline des mangroves (groupe erithachorides x rufivertex);yelwar4
Gold-/Mangrovewaldsänger;Northern/Mangrove Yellow Warbler;Paruline jaune ou P. des mangroves;yelwar
Gelbscheitel-Waldsänger;Chestnut-sided Warbler;Paruline à flancs marron;chswar
Goldflügel- x Blauflügel-Waldsänger (F1-Hybrid) x Gelbscheitel-Waldsänger (Hybrid);Brewster's x Chestnut-sided Warbler (hybrid);Hybride Paruline de Brewster (hybride F1) x P. à flancs marron;x01162
Kletter- x Gelbscheitel-Waldsänger (Hybrid);Black-and-white x Chestnut-sided Warbler (hybrid);Hybride Paruline noir et blanc x P. à flancs marron;x01216
Rotschwanz- x Gelbscheitel-Waldsänger (Hybrid);American Redstart x Chestnut-sided Warbler (hybrid);Hybride Paruline flamboyante x P. à flancs marron;x01163
Magnolien- x Gelbscheitel-Waldsänger (Hybrid);Magnolia x Chestnut-sided Warbler (hybrid);Hybride Paruline à tête cendrée x P. à flancs marron;x00772
Streifenwaldsänger;Blackpoll Warbler;Paruline rayée;bkpwar
Braunkehl- x Streifenwaldsänger (Hybrid);Bay-breasted x Blackpoll Warbler (hybrid);Hybride Paruline à poitrine baie x P. rayée;x00894
Braunkehl-/Streifenwaldsänger;Bay-breasted/Blackpoll Warbler;Paruline à poitrine baie ou P. rayée;y00627
Blaurücken-Waldsänger;Black-throated Blue Warbler;Paruline bleue;btbwar
Blau- x Blaurücken-Waldsänger (Hybrid);Cerulean x Black-throated Blue Warbler (hybrid);Hybride Paruline azurée x P. bleue;x00482
Magnolien- x Blaurücken-Waldsänger (Hybrid);Magnolia x Black-throated Blue Warbler (hybrid);Hybride Paruline à tête cendrée x P. bleue;x00978
Gold- x Blaurücken-Waldsänger (Hybrid);Northern Yellow x Black-throated Blue Warbler (hybrid);Hybride Paruline jaune x P. bleue;x01015
Gelbscheitel- x Blaurücken-Waldsänger (Hybrid);Chestnut-sided x Black-throated Blue Warbler (hybrid);Hybride Paruline à flancs marron x P. bleue;x00483
Palmenwaldsänger;Palm Warbler;Paruline à couronne rousse;palwar
Palmenwaldsänger (palmarum);Palm Warbler (Western);Paruline à couronne rousse (palmarum);palwar3
Palmenwaldsänger (hypochrysea);Palm Warbler (Yellow);Paruline à couronne rousse (hypochrysea);palwar4
Magnolien- x Palmenwaldsänger (Hybrid);Magnolia x Palm Warbler (hybrid);Hybride Paruline à tête cendrée x P. à couronne rousse;x00979
Kubawaldsänger;Olive-capped Warbler;Paruline à calotte verte;olcwar1
Kiefernwaldsänger;Pine Warbler;Paruline des pins;pinwar
Winterammer/Kiefernwaldsänger;Dark-eyed Junco/Pine Warbler;Junco ardoisé ou Paruline des pins;y00433
Kronenwaldsänger;Yellow-rumped Warbler;Paruline à croupion jaune;yerwar
Kronenwaldsänger (coronata);Yellow-rumped Warbler (Myrtle);Paruline à croupion jaune (coronata);myrwar
Kronenwaldsänger (Audubonwaldsänger);Yellow-rumped Warbler (Audubon's);Paruline à croupion jaune (auduboni);audwar
Kronenwaldsänger (coronata x auduboni);Yellow-rumped Warbler (Myrtle x Audubon's);Paruline à croupion jaune (coronata x auduboni);yerwar3
Kronenwaldsänger (nigrifrons);Yellow-rumped Warbler (West Mexico);Paruline à croupion jaune (nigrifrons);yerwar1
Kronenwaldsänger (Schwarznacken-Waldsänger);Yellow-rumped Warbler (Goldman's);Paruline à croupion jaune (goldmani);yerwar2
Tiger- x Kronenwaldsänger (Hybrid);Cape May x Yellow-rumped Warbler (hybrid);Hybride Paruline tigrée x P. à croupion jaune;x00980
Meisen- x Kronenwaldsänger (Hybrid);Northern Parula x Yellow-rumped Warbler (hybrid);Hybride Paruline à collier x P. à croupion jaune;x01251
Magnolien- x Kronenwaldsänger (Hybrid);Magnolia x Yellow-rumped Warbler (hybrid);Hybride Paruline à tête cendrée x P. à croupion jaune;x00773
Gelbscheitel- x Kronenwaldsänger (Hybrid);Chestnut-sided x Yellow-rumped Warbler (hybrid);Hybride Paruline à flancs marron x P. à croupion jaune;x01252
Blaurücken- x Kronenwaldsänger (Hybrid);Black-throated Blue x Yellow-rumped Warbler (hybrid);Hybride Paruline bleue x P. à croupion jaune;x01202
Palmen- x Kronenwaldsänger (Hybrid);Palm x Yellow-rumped Warbler (hybrid);Hybride Paruline à couronne rousse x P. à croupion jaune;x00461
Goldkehl-Waldsänger;Yellow-throated Warbler;Paruline à gorge jaune;yetwar
Goldkehl-Waldsänger (albilora);Yellow-throated Warbler (albilora);Paruline à gorge jaune (albilora);yetwar1
Goldkehl-Waldsänger (dominica/stoddardi);Yellow-throated Warbler (dominica/stoddardi);Paruline à gorge jaune (dominica/stoddardi);yetwar2
Meisen- x Goldkehl-Waldsänger (Hybrid);Northern Parula x Yellow-throated Warbler (hybrid);Hybride Paruline à collier x P. à gorge jaune;sutwar
Kiefern- x Goldkehl-Waldsänger (Hybrid);Pine x Yellow-throated Warbler (hybrid);Hybride Paruline des pins x P. à gorge jaune;x01128
Kronen- x Goldkehl-Waldsänger (Hybrid);Yellow-rumped x Yellow-throated Warbler (hybrid);Hybride Paruline à croupion jaune x P. à gorge jaune;x00937
Blau- x Goldkehl-Waldsänger (Hybrid);Cerulean x Yellow-throated Warbler (hybrid);Hybride Paruline azurée x P. à gorge jaune;x01175
Bahamawaldsänger;Bahama Warbler;Paruline de Todd;yetwar3
Dotterwaldsänger;Vitelline Warbler;Paruline des Caïmans;vitwar1
Rotmantel-Waldsänger;Prairie Warbler;Paruline des prés;prawar
Blauflügel- x Rotmantel-Waldsänger (Hybrid);Blue-winged x Prairie Warbler (hybrid);Hybride Paruline à ailes bleues x P. des prés;x00719
Gold- x Rotmantel-Waldsänger (Hybrid);Northern Yellow x Prairie Warbler (hybrid);Hybride Paruline jaune x P. des prés;x00866
Rotschwanz- x Rotmantel-Waldsänger (Hybrid);American Redstart x Prairie Warbler (hybrid);Hybride Paruline flamboyante x P. des prés;x01203
Antillenwaldsänger;Adelaide's Warbler;Paruline d'Adelaide;adewar1
Barbudawaldsänger;Barbuda Warbler;Paruline de Barbuda;barwar
Saint-Lucia-Waldsänger;St. Lucia Warbler;Paruline de Sainte-Lucie;stlwar
Arizonawaldsänger;Grace's Warbler;Paruline de Grace;grawar
Kronen- x Arizonawaldsänger (Hybrid);Yellow-rumped x Grace's Warbler (hybrid);Hybride Paruline à croupion jaune x P. de Grace;x00484
Trauerwaldsänger;Black-throated Gray Warbler;Paruline grise;btywar
Meisen- x Trauerwaldsänger (Hybrid);Northern Parula x Black-throated Gray Warbler (hybrid);Hybride Paruline à collier x P. grise;x01081
Kronen- x Trauerwaldsänger (Hybrid);Yellow-rumped x Black-throated Gray Warbler (hybrid);Hybride Paruline à croupion jaune x P. grise;x00895
Arizona- x Trauerwaldsänger (Hybrid);Grace's x Black-throated Gray Warbler (hybrid);Hybride Paruline de Grace x P. grise;x00639
Townsendwaldsänger;Townsend's Warbler;Paruline de Townsend;towwar
